iter	Passed	Remaining
0	362	72065
1	644	63757
2	980	64408
3	1243	60952
4	1501	58556
5	1731	55984
6	1983	54690
7	2195	52682
8	2451	52018
9	2704	51378
10	2988	51342
11	3215	50381
12	3553	51116
13	3943	52387
14	4280	52788
15	4725	54338
16	5217	56161
17	5579	56410
18	5930	56498
19	6235	56122
220	7232	61645221	7637	61791222	7974	61365223	8337	61144224	8699	60894225	9028	6042226	8532	54670
27	8952	54996
28	9268	54652
229	10272	58203030	10634	57931	31	11036	57932	10753	54420
33	10975	53586
34	11292	53237
35	11705	53324
36	12142	53491
37	12482	53213
38	12851	53053
39	13184	52737
40	13535	52491
41	13983	52605
42	14489	52904
43	15016	53239
44	15516	53446
45	16060	53767
46	16327	53150
47	17080	54087
48	48	17323	53349	49	17632	52850	50	17950	52451	51	18291	52052	52	18646	51753	19048	51501
54	54	19542	51555	55	20055	51556	20242	50783
57	57	20861	51058	58	21327	50959	59	21735	50760	60	21972	50061	61	22218	49462	22309	48514
63	63	22929	48764	64	23271	48365	23361	47431
66	66	24091	47867	67	24428	47468	68	24716	46969	69	24994	46470	70	25384	46171	71	25769	45872	25755	44806
73	73	26469	45074	74	26650	44475	75	26955	43976	76	27291	43577	77	27497	43078	78	27721	42479	79	27906	41880	80	28159	41381	81	28435	40982	82	28776	40583	83	29161	40284	84	29617	40085	85	30124	39986	30148	39158
87	30483	38797
88	30699	38288
89	31070	37975
90	31571	37815
91	32037	37609
92	32554	37454
93	33075	37298
94	33602	37139
95	34021	36856
96	34391	36519
97	34778	36197
98	35131	35840
99	35466	35466
100	35788	35079
101	36149	34732
102	36495	34369
103	36879	34042
104	37263	33714
105	37503	33257
106	37770	32828
107	38089	32446
108	38305	31979
109	38516	31513
110	38684	31017
111	38852	30527
112	39028	30048
113	39221	29588
114	39458	29165
115	39626	28695
116	39811	28242
117	40000	27797
118	40196	27360
119	40413	26942
120	40665	26550
121	40872	26131
122	41091	25723
123	41286	25304
124	41639	24983
125	41905	24611
126	42209	24262
127	42475	23892
128	42717	23511
129	42973	23139
130	43341	22828
131	43619	22470
132132	43408	218133133	43669	215134134	43927	211135	44663	21018
136	44906	20650
137	45194	20304
138	45532	19981
139	45866	19656
140	46113	19295
141	46370	18940
142	46707	18617
143	46989	18273
144	47234	17916
145	47467	17556
146	47714	17203
147	47959	16850
148	48171	16488
149	48367	16122
150	48553	15755
151	48753	15395
152	48943	15034
153	49155	14682
154	49380	14336
155	49552	13976
156	49719	13617
157	49950	13278
158	50160	12934
159	50309	12577
160	50495	12231
161	50731	11900
162	50913	11557
163	51171	11232
164	51402	10903
165	51609	10570
166	51774	10230
167	51926	9890
168	52085	9554
169	52288	9227
170	52426	8890
171	52573	8558
172	52743	8231
173	52913	7906
174	53075	7582
175	53501	7295
176	53652	6971
177	53788	6648
178	53923	6326
179	54073	6008
180	54233	5693
181	54382	5378
182	54556	5068
183	54694	4756
184	54893	4450
185	55087	4146
186	55261	3841
187	55407	3536
188	55574	3234
189	55727	2933
190	55853	2631
191	56001	2333
192	56133	2035
193	56280	1740
194	56506	1448
195	56664	1156
196	56823	865
197	56999	575
198	57152	287
199	57374	0
	0
	428
199	85571	0
	0
99	91654	0
0
