iter	Passed	Remaining
0	15	1508
1	38	1873
2	58	1902
3	72	1745
4	81	1545
5	97	1525
6	116	1542
7	133	1531
8	152	1537
9	168	1514
10	183	1486
11	204	1496
12	224	1502
13	245	1507
14	262	1486
15	281	1479
16	300	1468
17	321	1462
18	341	1454
19	361	1444
20	379	1428
21	397	1410
22	417	1396
23	438	1388
24	444	1333
25	465	1323
26	522	1411
27	549	1413
28	572	1402
29	594	1387
30	615	1370
31	636	1353
32	662	1344
33	682	1325
34	703	1305
35	722	1284
36	744	1267
37	765	1249
38	785	1229
39	807	1211
40	830	1194
41	852	1177
42	873	1157
43	885	1127
44	905	1107
45	928	1089
46	934	1054
47	948	1027
48	958	997
49	978	978
50	998	959
51	1024	945
52	1049	930
53	1065	907
54	1088	890
55	1113	874
56	1136	857
57	1167	845
58	1195	830
59	1218	812
60	1239	792
61	1260	772
62	1279	751
63	1297	729
64	1315	708
65	1346	693
66	1365	672
67	1384	651
68	1402	629
69	1421	609
70	1440	588
71	1460	568
72	1470	543
73	1489	523
74	1509	503
75	1515	478
76	1522	454
77	1543	435
78	1563	415
79	1582	395
80	1599	375
81	1617	354
82	1639	335
83	1660	316
84	1682	296
85	1705	277
86	1722	257
87	1741	237
88	1760	217
89	1778	197
90	1797	177
91	1816	157
92	1837	138
93	1856	118
94	1876	98
95	1896	79
96	1916	59
97	1935	39
98	1957	19
99	1975	0
