국적별,태국,중국,베트남,몽골,필리핀,카자흐스탄,러시아,인도네시아,우즈베키스탄,캄보디아,기타
2010,12408,76566,15440,10883,11256,569,1147,4746,5729,1091,28680
2011,14095,67034,18876,9668,11863,465,952,5718,5028,1314,32767
2012,17591,69792,25665,8680,13616,412,895,6197,4629,1698,28679
2013,20665,69243,27240,7747,13029,385,895,6723,4970,2330,29879
2014,44283,70311,26932,7409,12814,359,996,7237,4627,3115,30695
2015,52519,67437,26563,8274,12358,1337,1493,7269,4680,3556,28682
2016,56099,55831,27862,10146,11295,2914,3779,7181,4452,3886,25526
2017,68449,62827,31691,12719,11954,7214,8447,7626,5241,4715,30158
2018,138591,71070,42056,15919,13020,11413,10906,8110,6162,5897,31982
2019,152439,70536,58686,17510,13095,11092,12090,8460,7137,6099,33137
2020,151468,63549,66046,17006,13291,10452,11172,8603,8239,7050,35320
2021,142677,63113,70411,15969,13613,9768,9486,9142,9167,8751,36603
2022,147481,63463,78235,15359,14041,13191,9108,10448,9549,10155,40240
